Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00344217286660819,-0.00059358231404421,0.0800225110677588,0,0,0,0.461792601094852,0.00103940886102509,5.84920046881059E-06,-4.21789087708618E-06,0.00145552483450489,5.85702311398796E-06,0.00181351390148521,0,0,0,0,0,0,package://A01_ExoMy/meshes/base_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://A01_ExoMy/meshes/base_link.STL,,P01_Chassis-1;P03_Bogie_Bearing-1;A08_Top_Assembly-1/P11_Top-1;A08_Top_Assembly-1/P21_Mast-1;A08_Top_Assembly-1/P12_Solar_Panel-1;A08_Top_Assembly-1/P12_Solar_Panel-2;P03_Bogie_Bearing-2;P03_Bogie_Bearing-3,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
MRB_link,-1.94916821852514E-05,0.00515672874720715,-0.0528517097462781,0,0,0,0.105561356957775,4.60284820956404E-05,3.16960678741699E-09,7.76760980511555E-08,0.000262746083597657,-4.28210035683277E-07,0.000230606772872478,0,0,0,0,0,0,package://A01_ExoMy/meshes/MRB_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://A01_ExoMy/meshes/MRB_link.STL,,A05_Bogie-1/P17_Bogie_Cable_Cover-1;A05_Bogie-1/P19_Bogie-2;A05_Bogie-1/Parallax-Servo-ASM-2/Parallax-Servo-1;A05_Bogie-1/Parallax-Servo-ASM-3/Parallax-Servo-1,Origin_MRB_joint,Axis_MRB_joint,MRB_joint,continuous,-0.082,0,0.017,1.5708,0,1.5708,base_link,0,0,-1,0,0,-1,1,,,,,,,,
STR_LR_link,-0.0124570291004616,0.000225486285520549,-0.0337605009553563,0,0,0,0.0711741624806839,3.36879478479989E-05,-8.98028473569693E-09,-4.73850731914463E-06,4.10598360484864E-05,-1.40355471129971E-07,1.59152321238693E-05,0,0,0,0,0,0,package://A01_ExoMy/meshes/STR_LR_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://A01_ExoMy/meshes/STR_LR_link.STL,,A05_Bogie-1/A04_Wheel_Assembly-1/P29_Wheel_Bracket_Fixing_Plate-1;A05_Bogie-1/A04_Wheel_Assembly-1/P28_Wheel_Bracket_Split-1;A05_Bogie-1/A04_Wheel_Assembly-1/Parallax-Servo-ASM-1/Parallax-Servo-1,Origin_STR_LR_joint,Axis_STR_LR_joint,STR_LR_joint,continuous,0.10378,-0.015418,-0.080775,1.5708,0,3.1416,MRB_link,0,0,-1,0,0,-1.57,1.57,,,,,,,,
DRV_LR_link,-0.00746718154845785,0.000210617627838146,4.38837841898465E-08,0,0,0,0.0569725827075566,8.04986816304344E-05,6.30117671072126E-08,1.21312268717688E-11,5.21106389985385E-05,-1.42808035703767E-11,5.23057476713962E-05,0,0,0,0,0,0,package://A01_ExoMy/meshes/DRV_LR_link.STL,0.968627450980392,0.87843137254902,0.6,1,0,0,0,0,0,0,package://A01_ExoMy/meshes/DRV_LR_link.STL,,A05_Bogie-1/A04_Wheel_Assembly-1/P30_Wheel-1,Origin_DRV_LR_joint,Axis_DRV_LR_joint,DRV_LR_joint,continuous,0.0023862000000006,0,-0.05724350028868,-1.5707963267949,0,-3.14159265358979,STR_LR_link,1,0,0,,,,,,,,,,,,
STR_RR_link,-0.0124555119208884,-0.000225533347372769,-0.0337608863892043,0,0,0,0.0711731050126798,3.36872651588371E-05,8.07921106507512E-09,-4.74135535856893E-06,4.10633342806445E-05,1.40511475045121E-07,1.59192004790093E-05,0,0,0,0,0,0,package://A01_ExoMy/meshes/STR_RR_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://A01_ExoMy/meshes/STR_RR_link.STL,,A05_Bogie-1/A04_Wheel_Assembly-2/P29_Wheel_Bracket_Fixing_Plate-1;A05_Bogie-1/A04_Wheel_Assembly-2/P28_Wheel_Bracket_Split-1;A05_Bogie-1/A04_Wheel_Assembly-2/Parallax-Servo-ASM-1/Parallax-Servo-1,Origin_STR_RR_joint,Axis_STR_RR_joint,STR_RR_joint,continuous,-0.103779999964964,-0.0154182000000004,-0.0807754997113317,-1.5707963267949,0,0,MRB_link,0,0,-1,0,0,0,0,,,,,,,,
DRV_RR_link,0.0074671815484578,0.000210617627838153,-4.38837842176021E-08,0,0,0,0.0569725827075565,8.04986816304343E-05,-6.30117671071997E-08,1.21312268599669E-11,5.21106389985385E-05,1.42808035977901E-11,5.23057476713962E-05,0,0,0,0,0,0,package://A01_ExoMy/meshes/DRV_RR_link.STL,0.968627450980392,0.87843137254902,0.6,1,0,0,0,0,0,0,package://A01_ExoMy/meshes/DRV_RR_link.STL,,A05_Bogie-1/A04_Wheel_Assembly-2/P30_Wheel-1,Origin_DRV_RR_joint,Axis_DRV_RR_joint,DRV_RR_joint,continuous,0.00238620000000062,0,-0.05724350028868,-1.5707963267949,0,0,STR_RR_link,-1,0,0,,,,,,,,,,,,
RFB_link,1.60029179709226E-05,-0.00628258071164517,-0.026325831075585,0,0,0,0.0924731806739564,2.29318170766289E-05,-4.34816441416897E-09,1.98434655213747E-09,0.000122753678018952,4.18265325956463E-07,0.00011348341722108,0,0,0,0,0,0,package://A01_ExoMy/meshes/RFB_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://A01_ExoMy/meshes/RFB_link.STL,,A05_Bogie-3/P19_Bogie-2;A05_Bogie-3/P17_Bogie_Cable_Cover-1;A05_Bogie-3/Parallax-Servo-ASM-3/Parallax-Servo-1;A05_Bogie-3/Parallax-Servo-ASM-2/Parallax-Servo-1,Origin_RFB_joint,Axis_RFB_joint,RFB_joint,continuous,0.055,-0.062,0.017,-1.5708,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
STR_RF_link,0.000225533347372714,-0.0124555119208887,-0.0337608863892036,0,0,0,0.0711731050126818,4.10633342806453E-05,-8.07921106508335E-09,-1.40511475044935E-07,3.3687265158838E-05,-4.74135535856885E-06,1.59192004790093E-05,0,0,0,0,0,0,package://A01_ExoMy/meshes/STR_RF_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://A01_ExoMy/meshes/STR_RF_link.STL,,A05_Bogie-3/A04_Wheel_Assembly-2/P29_Wheel_Bracket_Fixing_Plate-1;A05_Bogie-3/A04_Wheel_Assembly-2/P28_Wheel_Bracket_Split-1;A05_Bogie-3/A04_Wheel_Assembly-2/Parallax-Servo-ASM-1/Parallax-Servo-1,Origin_STR_RF_joint,Axis_STR_RF_joint,STR_RF_joint,continuous,0.0799999999649666,0.0154182000000003,-0.0417754997113214,1.5707963267949,0,0,RFB_link,0,0,1,0,0,0,0,,,,,,,,
DRV_RF_link,4.38837842731132E-08,0.000210617627838139,0.00746718154845782,0,0,0,0.0569725827075564,5.23057476713962E-05,-1.42808035790192E-11,-1.21312266386015E-11,5.21106389985385E-05,-6.30117671072073E-08,8.04986816304343E-05,0,0,0,0,0,0,package://A01_ExoMy/meshes/DRV_RF_link.STL,0.968627450980392,0.87843137254902,0.6,1,0,0,0,0,0,0,package://A01_ExoMy/meshes/DRV_RF_link.STL,,A05_Bogie-3/A04_Wheel_Assembly-2/P30_Wheel-1,Origin_DRV_RF_joint,Axis_DRV_RF_joint,DRV_RF_joint,continuous,0,0.00238620000000059,-0.05724350028868,-1.5707963267949,0,0,STR_RF_link,0,0,-1,,,,,,,,,,,,
STR_RM_link,-0.000225486285520462,-0.0124570291004618,-0.0337605009553562,0,0,0,0.0711741624806848,4.10598360484869E-05,8.98028473569694E-09,1.40355471129991E-07,3.36879478479993E-05,-4.73850731914455E-06,1.59152321238695E-05,0,0,0,0,0,0,package://A01_ExoMy/meshes/STR_RM_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://A01_ExoMy/meshes/STR_RM_link.STL,,A05_Bogie-3/A04_Wheel_Assembly-1/P29_Wheel_Bracket_Fixing_Plate-1;A05_Bogie-3/A04_Wheel_Assembly-1/P28_Wheel_Bracket_Split-1;A05_Bogie-3/A04_Wheel_Assembly-1/Parallax-Servo-ASM-1/Parallax-Servo-1,Origin_STR_RM_joint,Axis_STR_RM_joint,STR_RM_joint,continuous,-0.0799999999999998,0.0154182000000003,-0.0417754997000026,1.5707963267949,0,0,RFB_link,0,0,1,,,,,,,,,,,,
DRV_RM_link,4.37738161586376E-08,0.000210617517870139,0.0074671815515602,0,0,0,0.0569725827075565,5.23057476713966E-05,-1.42798754232894E-11,-1.25464200242674E-11,5.21106390003944E-05,-6.30121851736896E-08,8.0498681628578E-05,0,0,0,0,0,0,package://A01_ExoMy/meshes/DRV_RM_link.STL,0.968627450980392,0.87843137254902,0.6,1,0,0,0,0,0,0,package://A01_ExoMy/meshes/DRV_RM_link.STL,,A05_Bogie-3/A04_Wheel_Assembly-1/P30_Wheel-1,Origin_DRV_RM_joint,Axis_DRV_RM_joint,DRV_RM_joint,continuous,0,0.00238620000000059,-0.05724350028868,-1.57079634152174,0,0,STR_RM_link,0,0,-1,,,,,,,,,,,,
LFB_link,-1.60029179707352E-05,-0.00628258071164518,0.026325831075585,0,0,0,0.0924731806739563,2.29318170766289E-05,4.34816441416009E-09,1.98434655278348E-09,0.000122753678018952,-4.18265325956468E-07,0.00011348341722108,0,0,0,0,0,0,package://A01_ExoMy/meshes/LFB_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://A01_ExoMy/meshes/LFB_link.STL,,A05_Bogie-2/P19_Bogie-2;A05_Bogie-2/P17_Bogie_Cable_Cover-1;A05_Bogie-2/Parallax-Servo-ASM-2/Parallax-Servo-1;A05_Bogie-2/Parallax-Servo-ASM-3/Parallax-Servo-1,Origin_LFB_joint,Axis_LFB_joint,LFB_joint,continuous,0.055,0.062,0.017,-1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
STR_LF_link,0.000225486285520049,0.0124570291004616,-0.0337605009553563,0,0,0,0.0711741624806841,4.10598360484865E-05,8.98028473594072E-09,-1.40355471130151E-07,3.3687947847999E-05,4.73850731914464E-06,1.59152321238694E-05,0,0,0,0,0,0,package://A01_ExoMy/meshes/STR_LF_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://A01_ExoMy/meshes/STR_LF_link.STL,,A05_Bogie-2/A04_Wheel_Assembly-1/P29_Wheel_Bracket_Fixing_Plate-1;A05_Bogie-2/A04_Wheel_Assembly-1/P28_Wheel_Bracket_Split-1;A05_Bogie-2/A04_Wheel_Assembly-1/Parallax-Servo-ASM-1/Parallax-Servo-1,Origin_STR_LF_joint,Axis_STR_LF_joint,STR_LF_joint,continuous,0.0800000000000002,0.0154182000000003,0.0417754997000019,1.5707963267949,0,0,LFB_link,0,0,1,,,,,,,,,,,,
DRV_LF_link,-4.38837841898465E-08,0.000210617627838139,-0.00746718154845781,0,0,0,0.0569725827075565,5.23057476713961E-05,1.42808035655077E-11,-1.21312268806249E-11,5.21106389985386E-05,6.30117671071966E-08,8.04986816304343E-05,0,0,0,0,0,0,package://A01_ExoMy/meshes/DRV_LF_link.STL,0.968627450980392,0.87843137254902,0.6,1,0,0,0,0,0,0,package://A01_ExoMy/meshes/DRV_LF_link.STL,,A05_Bogie-2/A04_Wheel_Assembly-1/P30_Wheel-1,Origin_DRV_LF_joint,Axis_DRV_LF_joint,DRV_LF_joint,continuous,0,-0.0023862000000006,-0.05724350028868,-1.5707963267949,0,0,STR_LF_link,0,0,1,,,,,,,,,,,,
STR_LM_link,-0.000225533347373009,0.0124555119208885,-0.0337608863892038,0,0,0,0.0711731050126813,4.10633342806452E-05,-8.07921106488509E-09,1.40511475044828E-07,3.36872651588378E-05,4.74135535856902E-06,1.59192004790094E-05,0,0,0,0,0,0,package://A01_ExoMy/meshes/STR_LM_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://A01_ExoMy/meshes/STR_LM_link.STL,,A05_Bogie-2/A04_Wheel_Assembly-2/P29_Wheel_Bracket_Fixing_Plate-1;A05_Bogie-2/A04_Wheel_Assembly-2/P28_Wheel_Bracket_Split-1;A05_Bogie-2/A04_Wheel_Assembly-2/Parallax-Servo-ASM-1/Parallax-Servo-1,Origin_STR_LM_joint,Axis_STR_LM_joint,STR_LM_joint,continuous,-0.0799999999649663,0.0154182000000003,0.041775499711322,1.5707963267949,0,0,LFB_link,0,0,1,,,,,,,,,,,,
